"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1205802676778103039","【双11种草福袋】THE LAUNDRESS深色白色洗衣液喷雾体验组合装","140.00","1","LA20201001002","净含量：深色洗衣液60ml+羊毛15ml+经典15ml","null","null","卖家已发货，等待买家确认","LA20201001002"
="1205802676778103039","【双11种草福袋】THE LAUNDRESS深色白色洗衣液抗静电喷雾体验装","90.00","1","67930125","净含量：白色洗衣液60ml","null","null","卖家已发货，等待买家确认","67930125"
="1336874689628125380","【双11种草福袋】THE LAUNDRESS深色白色洗衣液抗静电喷雾体验装","90.00","1","67930125","净含量：白色洗衣液60ml","null","null","卖家已发货，等待买家确认","67930125"
="1337024918947740463","【狂欢价】THE LAUNDRESS婴儿洗衣精-无香型初生儿宝宝专用洗衣液洗涤剂","210.00","3","LABC-004U","null","null","null","卖家已发货，等待买家确认","LABC-004U"
="1337024918947740463","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","3","LAB-008","null","null","null","卖家已发货，等待买家确认","LAB-008"
="1205793532282948425","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1337188539644555872","【双11种草福袋】THE LAUNDRESS深色白色洗衣液抗静电喷雾体验装","90.00","1","67930125","净含量：白色洗衣液60ml","null","null","交易成功","67930125"
="1337026898904925055","【双11种草福袋】THE LAUNDRESS深色白色洗衣液抗静电喷雾体验装","90.00","1","67930125","净含量：白色洗衣液60ml","null","null","卖家已发货，等待买家确认","67930125"
="1337026898904925055","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1218281548334742590","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","交易成功","LAL-005"
="1218281548334742590","【狂欢价】THE LAUNDRESS婴儿洗衣精-无香型初生儿宝宝专用洗衣液洗涤剂","210.00","1","LABC-004U","null","null","null","交易成功","LABC-004U"
="1335737196459559573","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","3","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1219606099038019985","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","交易成功","LAC-006"
="1205728230086500746","【狂欢价】THE LAUNDRESS婴儿洗衣精1L初生儿宝宝温和洗护洗衣液洗涤剂","210.00","1","LABC-004","null","null","null","卖家已发货，等待买家确认","LABC-004"
="1218409924626889588","【狂欢价】THE LAUNDRESS牛仔布料洗衣精475ml护色洗衣剂","190.00","1","LAS-019","null","null","null","卖家已发货，等待买家确认","LAS-019"
="1216617901901001715","THE LAUNDRESS羊毛羊绒专用洁净液60ml羊毛洗护洗衣液洗涤剂","90.00","1","LASMC-006","净含量：羊毛60ml","null","null","卖家已发货，等待买家确认","LASMC-006"
="1216597777860361815","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","2","LAB-008","null","null","null","卖家已发货，等待买家确认","LAB-008"
="1216629816384484510","【双11种草福袋】THE LAUNDRESS深色白色洗衣液抗静电喷雾体验装","90.00","1","67930125","净含量：白色洗衣液60ml","null","null","卖家已发货，等待买家确认","67930125"
="1216653795940813200","【狂欢价】THE LAUNDRESS衣物柔软精-经典香氛衣物柔顺剂安心温和","190.00","1","LAS-008","null","null","null","交易成功","LAS-008"
="1216653795940813200","【狂欢价】THE LAUNDRESS衣物柔软精-婴儿香氛475ml宝宝衣物柔顺剂","190.00","1","LAB-008","null","null","null","交易成功","LAB-008"
